,year,neighborhood,sale_price_sqr_foot
315,2015,Twin Peaks,417.33537892280015
316,2015,Union Square District,2258.702831998355
317,2015,Van Ness/ Civic Center,677.8382318281795
318,2015,Visitacion Valley,302.2218727063018
319,2015,Western Addition,481.46924427394237
320,2015,Parkside,
321,2015,Lower Pacific Heights,800.0388650775142
322,2015,Corona Heights,1100.7911936704506
323,2015,Lake --The Presidio,426.6849522707296
324,2015,Lone Mountain,918.2882682038704
325,2015,Alamo Square,602.1158769435002
326,2015,Anza Vista,465.68627450980387
327,2015,Bernal Heights ,458.0042993401075
328,2015,Buena Vista Park,551.6956218496264
329,2015,Central Richmond,473.1638149617127
330,2015,Central Sunset,453.3793770708969
331,2015,Cow Hollow,598.6205414959003
332,2015,Croker Amazon,301.61864706270705
333,2015,Downtown ,485.8868855757771
334,2015,Duboce Triangle,631.6456863280099
335,2015,Eureka Valley/Dolores Heights,790.1803690820187
336,2015,Excelsior,414.35585647200105
337,2015,Bayview Heights,590.7928388746802
338,2015,Financial District South,453.4330812935196
339,2015,Financial District North,694.358566653677
340,2015,Jordan Park/Laurel Heights,576.4579094375945
341,2015,Inner Richmond,493.61555763336935
342,2015,Inner Parkside,762.5272331154684
343,2015,Inner Mission,435.9007753824155
344,2015,Inner Sunset,639.1464438694404
345,2015,Hunters Point,
346,2015,Hayes Valley,536.5571018753241
347,2015,Haight Ashbury,574.2740565313097
348,2015,Golden Gate Heights,772.7128362001238
349,2015,Glen Park,612.1061563311456
350,2015,Ingleside ,192.16524813774402
351,2016,Mission Bay,924.5691159025888
352,2016,Mission Terrace,879.0170132325142
353,2016,Nob Hill,777.0083145338547
354,2016,Noe Valley,799.4956512788842
355,2016,North Beach,407.5533215595707
356,2016,Outer Mission,40.7726253518439
357,2016,Outer Parkside,732.7206841423807
358,2016,Outer Richmond ,1196.645436923929
359,2016,Outer Sunset,510.5769072143791
360,2016,Pacific Heights,996.3893635634033
361,2016,Russian Hill,1024.3398771365157
362,2016,Parnassus/Ashbury Heights,1207.997484708169
363,2016,Potrero Hill,707.6516094320912
364,2016,Presidio Heights,1465.9685863874345
365,2016,South of Market,531.1363737279744
366,2016,Sunnyside,751.1737089201877
367,2016,Telegraph Hill,903.0497705987848
368,2016,Twin Peaks,970.08547008547
369,2016,Van Ness/ Civic Center,552.6025671312701
370,2016,Merced Heights,1416.666666666667
371,2016,Park North,211.30136986006568
372,2016,Marina,431.94460202359033
373,2016,Downtown ,718.7768297452345
374,2016,Jordan Park/Laurel Heights,704.5664189758045
375,2016,Visitacion Valley,328.31900668576884
376,2016,Alamo Square,340.98183523166995
377,2016,Anza Vista,88.40151094606408
378,2016,Bernal Heights ,986.8421052631579
379,2016,Buena Vista Park,851.4014053492668
380,2016,Central Richmond,661.0644257703083
